param SpecifiedDemandProfile	default	0	:=
[TUNISIA,electricity,*,*]	:	2015	2020	2025	2030	2035	2040	:=
Su34	0.004712	0.004712	0.004712	0.004712	0.004712	0.004712	
Su35	0.004859	0.004859	0.004859	0.004859	0.004859	0.004859	
Su36	0.005035	0.005035	0.005035	0.005035	0.005035	0.005035	
Su37	0.004978	0.004978	0.004978	0.004978	0.004978	0.004978	
Su38	0.004901	0.004901	0.004901	0.004901	0.004901	0.004901	
Su39	0.004854	0.004854	0.004854	0.004854	0.004854	0.004854	
Su40	0.004769	0.004769	0.004769	0.004769	0.004769	0.004769	
Su41	0.004586	0.004586	0.004586	0.004586	0.004586	0.004586	
Su42	0.004364	0.004364	0.004364	0.004364	0.004364	0.004364	
Su43	0.004043	0.004043	0.004043	0.004043	0.004043	0.004043	
Su44	0.004436	0.004436	0.004436	0.004436	0.004436	0.004436	
Su45	0.004352	0.004352	0.004352	0.004352	0.004352	0.004352	
Su46	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	
Su47	0.004021	0.004021	0.004021	0.004021	0.004021	0.004021	
Su48	0.003988	0.003988	0.003988	0.003988	0.003988	0.003988	
Su49	0.003809	0.003809	0.003809	0.003809	0.003809	0.003809	
Su50	0.003589	0.003589	0.003589	0.003589	0.003589	0.003589	
Su51	0.003482	0.003482	0.003482	0.003482	0.003482	0.003482	
Su52	0.003439	0.003439	0.003439	0.003439	0.003439	0.003439	
Su53	0.003213	0.003213	0.003213	0.003213	0.003213	0.003213	
Su54	0.003218	0.003218	0.003218	0.003218	0.003218	0.003218	
Su55	0.003492	0.003492	0.003492	0.003492	0.003492	0.003492	
Su56	0.003832	0.003832	0.003832	0.003832	0.003832	0.003832	
Su57	0.004075	0.004075	0.004075	0.004075	0.004075	0.004075	
Su58	0.00426	0.00426	0.00426	0.00426	0.00426	0.00426	
Su59	0.004307	0.004307	0.004307	0.004307	0.004307	0.004307	
Su60	0.004366	0.004366	0.004366	0.004366	0.004366	0.004366	
Su61	0.004359	0.004359	0.004359	0.004359	0.004359	0.004359	
Su62	0.004185	0.004185	0.004185	0.004185	0.004185	0.004185	
Su63	0.00418	0.00418	0.00418	0.00418	0.00418	0.00418	
Su64	0.004076	0.004076	0.004076	0.004076	0.004076	0.004076	
Su65	0.003942	0.003942	0.003942	0.003942	0.003942	0.003942	
Su66	0.003768	0.003768	0.003768	0.003768	0.003768	0.003768	
Su67	0.003479	0.003479	0.003479	0.003479	0.003479	0.003479	
Su68	0.003947	0.003947	0.003947	0.003947	0.003947	0.003947	
Su69	0.003914	0.003914	0.003914	0.003914	0.003914	0.003914	
Su70	0.003546	0.003546	0.003546	0.003546	0.003546	0.003546	
Su71	0.003355	0.003355	0.003355	0.003355	0.003355	0.003355	
Su72	0.003285	0.003285	0.003285	0.003285	0.003285	0.003285	
Ra1	0.003583	0.003583	0.003583	0.003583	0.003583	0.003583	
Ra2	0.003395	0.003395	0.003395	0.003395	0.003395	0.003395	
